Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Super 8 by Wyndham Mt. Vernon IL,7.8 out of 10 Good,"1,002 verified reviews",7.8/10,8.2/10,7.2/10,7.2/10,7.4/10
Radisson Blu Aqua Hotel Chicago,8.2 out of 10 Very good,"1,530 verified reviews",8.4/10,8.4/10,8.2/10,8.4/10,8.4/10
"Chicago Athletic Association, a Hyatt Hotel",9.0 out of 10 Wonderful,"1,006 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,8.8/10
Drury Inn & Suites Mt. Vernon,9.6 out of 10 Exceptional,"1,080 verified reviews",9.6/10,9.8/10,9.6/10,9.6/10,9.4/10
"Kimpton Gray Hotel, an IHG Hotel",9.4 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.6/10,9.0/10,9.6/10,9.2/10
Fairmont Chicago at Millennium Park,8.6 out of 10 Excellent,"1,421 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
La Quinta Inn & Suites by Wyndham Springfield IL,8.0 out of 10 Very good,"1,003 verified reviews",8.4/10,8.2/10,8.0/10,8.2/10,8.2/10
Microtel Inn & Suites by Wyndham Springfield,7.6 out of 10 Good,"1,002 verified reviews",7.6/10,8.0/10,7.6/10,7.4/10,7.8/10
Days Inn by Wyndham Charleston,7.6 out of 10 Good,676 verified reviews,8.0/10,8.4/10,6.8/10,7.6/10,7.2/10
Best Western Plus Chicagoland - Countryside,8.6 out of 10 Excellent,"1,003 verified reviews",8.8/10,9.0/10,8.2/10,8.6/10,8.2/10
"Hotel EMC2, Autograph Collection",9.4 out of 10 Exceptional,999 verified reviews,9.8/10,9.6/10,9.0/10,9.6/10,9.4/10
Fairfield Inn & Suites Chicago Downtown/River North,9.2 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.6/10,8.8/10,9.4/10,9.0/10
Hyatt Centric Chicago Magnificent Mile,8.8 out of 10 Excellent,"1,270 verified reviews",9.2/10,9.2/10,8.6/10,9.0/10,8.8/10
Bridgeview Inn Chicago Area,7.0 out of 10 Good,13 verified reviews,6.8/10,5.8/10,5.0/10,6.6/10,6.4/10
Hyatt Centric The Loop Chicago,8.8 out of 10 Excellent,"1,005 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
Hampton Inn & Suites Chicago Downtown,8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.8/10
Embassy Suites by Hilton Chicago Downtown River North,8.0 out of 10 Very good,"2,124 verified reviews",8.2/10,8.4/10,8.2/10,7.8/10,8.0/10
Best Western Plus Bloomington East Hotel,8.8 out of 10 Excellent,768 verified reviews,8.8/10,9.2/10,8.4/10,8.6/10,8.4/10
Baymont by Wyndham Morton,7.8 out of 10 Good,734 verified reviews,8.0/10,8.2/10,8.2/10,7.8/10,8.2/10
Illini Inn & Suites Hotel - Rantoul/Gifford/Champaign/Urbana,7.8 out of 10 Good,18 verified reviews,7.8/10,8.6/10,7.2/10,7.2/10,8.0/10
Baymont by Wyndham Gurnee,7.6 out of 10 Good,"1,003 verified reviews",7.6/10,8.2/10,7.2/10,7.2/10,7.6/10
Quality Inn Effingham,8.2 out of 10 Very good,636 verified reviews,8.6/10,8.6/10,8.4/10,8.2/10,8.6/10
Hyatt Regency Chicago,9.0 out of 10 Wonderful,"3,488 verified reviews",9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
Moxy Chicago Downtown,9.2 out of 10 Wonderful,627 verified reviews,9.8/10,9.6/10,8.8/10,9.6/10,9.2/10
"InterContinental Chicago Magnificent Mile, an IHG Hotel",8.6 out of 10 Excellent,"1,496 verified reviews",9.0/10,9.0/10,8.4/10,8.6/10,8.6/10
"Country Inn & Suites by Radisson, Decatur, IL",8.0 out of 10 Very good,860 verified reviews,8.2/10,8.6/10,7.4/10,7.8/10,7.4/10
"Route 66 Hotel, Springfield, Illinois",6.8 out of 10 Good,996 verified reviews,6.8/10,7.6/10,6.2/10,6.4/10,6.8/10
Heritage Grand Inn,8.6 out of 10 Excellent,235 verified reviews,9.0/10,9.0/10,7.6/10,8.4/10,9.0/10
"Country Inn & Suites by Radisson, Manteno, IL",8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.6/10,8.0/10,8.0/10,8.0/10
"Country Inn & Suites by Radisson, Galena, IL",9.4 out of 10 Exceptional,"1,000 verified reviews",9.4/10,9.6/10,9.2/10,9.4/10,9.0/10
Hilton Garden Inn Chicago Downtown/Magnificent Mile,8.0 out of 10 Very good,"1,700 verified reviews",8.4/10,8.2/10,7.8/10,8.2/10,8.2/10
