Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hampton Inn Indianapolis-South,8.8 out of 10 Excellent,721 verified reviews,9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
TownePlace Suites by Marriott Indianapolis Airport,9.2 out of 10 Wonderful,166 verified reviews,9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
HOLIDAY INN EXPRESS & SUITES INDIANAPOLIS - EAST,7.8 out of 10 Good,936 verified reviews,8.0/10,8.4/10,6.6/10,7.6/10,7.0/10
Ramada by Wyndham Indianapolis Speedway,4.2 out of 10,261 verified reviews,4.0/10,5.8/10,3.8/10,3.8/10,4.4/10
Baymont by Wyndham Indianapolis Northwest,8.0 out of 10 Very good,896 verified reviews,8.2/10,8.6/10,7.4/10,7.6/10,7.6/10
Speedway Legacy Inn,7.6 out of 10 Good,9 verified reviews,9.2/10,9.6/10,5.4/10,8.6/10,8.8/10
Courtyard by Marriott Indianapolis Castleton,8.6 out of 10 Excellent,638 verified reviews,9.0/10,8.8/10,8.2/10,8.8/10,8.8/10
"Holiday Inn Express Indianapolis - Southeast, an IHG Hotel",7.8 out of 10 Good,"1,004 verified reviews",8.0/10,8.2/10,7.0/10,7.8/10,7.4/10
Residence Inn by Marriott Indianapolis Northwest,8.4 out of 10 Very good,139 verified reviews,8.8/10,8.6/10,7.6/10,8.6/10,8.2/10
Residence Inn Indianapolis South/Greenwood,9.2 out of 10 Wonderful,98 verified reviews,9.4/10,9.0/10,8.8/10,9.6/10,9.2/10
Extended Stay America Suites Indianapolis Castleton,6.8 out of 10 Good,496 verified reviews,7.2/10,7.4/10,6.0/10,7.0/10,6.8/10
Hampton Inn Indianapolis-N.E./Castleton,7.8 out of 10 Good,"1,000 verified reviews",8.0/10,8.6/10,7.4/10,7.8/10,7.4/10
Baymont by Wyndham Indianapolis Northeast,6.6 out of 10 Good,"1,003 verified reviews",7.2/10,7.2/10,6.2/10,6.6/10,6.4/10
Quality Suites,6.8 out of 10 Good,491 verified reviews,7.0/10,7.4/10,6.6/10,6.8/10,6.6/10
Hampton Inn Indianapolis Northwest - Park 100,8.8 out of 10 Excellent,766 verified reviews,9.2/10,9.2/10,7.8/10,9.2/10,8.6/10
Red Roof Inn Indianapolis South,6.6 out of 10 Good,295 verified reviews,7.0/10,7.2/10,6.2/10,6.8/10,6.8/10
"Candlewood Suites Indianapolis East, an IHG Hotel",8.2 out of 10 Very good,810 verified reviews,8.6/10,8.4/10,7.6/10,8.2/10,7.6/10
Red Roof Inn & Suites Indianapolis Airport,6.0 out of 10 Good,864 verified reviews,6.2/10,7.0/10,5.6/10,5.8/10,6.0/10
Extended Stay America Suites Indianapolis West 86th St,6.6 out of 10 Good,364 verified reviews,6.8/10,7.8/10,5.8/10,6.6/10,6.8/10
Quality Inn & Suites,6.0 out of 10 Good,386 verified reviews,6.2/10,7.0/10,5.8/10,5.6/10,5.8/10
Quality Inn South,6.0 out of 10 Good,579 verified reviews,6.2/10,7.4/10,6.2/10,5.8/10,5.6/10
Extended Stay America Suites Indianapolis NW College Park,5.8 out of 10,630 verified reviews,6.2/10,6.8/10,5.2/10,5.8/10,5.6/10
"Studio 6 Indianapolis, IN",6.8 out of 10 Good,894 verified reviews,7.4/10,7.4/10,6.2/10,6.8/10,6.8/10
"Candlewood Suites Indianapolis Airport, an IHG Hotel",7.8 out of 10 Good,545 verified reviews,8.2/10,8.4/10,6.6/10,7.8/10,6.8/10
Extended Stay America Select Suites - Indianapolis - West,5.4 out of 10,278 verified reviews,5.8/10,6.0/10,5.2/10,5.8/10,5.4/10
"Motel 6 Indianapolis, IN",7.8 out of 10 Good,132 verified reviews,7.8/10,8.2/10,6.4/10,7.6/10,7.6/10
Extended Stay America Select Suites - Indianapolis - Lawrence,5.4 out of 10,369 verified reviews,5.8/10,6.2/10,4.6/10,5.4/10,4.8/10
Indy Speedway Inn,6.2 out of 10 Good,260 verified reviews,6.6/10,6.6/10,5.4/10,6.0/10,4.8/10
Extended Stay America Suites Indianapolis Northwest I465,5.6 out of 10,978 verified reviews,6.0/10,6.6/10,5.4/10,5.8/10,5.0/10
Super 8 by Wyndham Indianapolis/NE/Castleton Area,4.6 out of 10,971 verified reviews,4.6/10,6.2/10,4.4/10,4.2/10,4.6/10
Red Roof Inn Indianapolis North - College Park,6.2 out of 10 Good,"1,001 verified reviews",6.0/10,7.2/10,5.6/10,5.8/10,5.6/10
Norwood Inn & Suites Indianapolis,4.0 out of 10,199 verified reviews,3.8/10,5.0/10,3.8/10,3.6/10,4.0/10
Knights Inn Indianapolis,3.4 out of 10,228 verified reviews,3.4/10,4.8/10,4.0/10,3.0/10,3.4/10
"Country Inn & Suites by Radisson, Indianapolis Airport South, IN",8.4 out of 10 Very good,"1,004 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.4/10
"Country Inn & Suites by Radisson, Indianapolis South, IN",8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,7.8/10,8.0/10,8.0/10
Extended Stay America Select Suites - Indianapolis - Greenwood,5.8 out of 10,293 verified reviews,6.6/10,6.8/10,5.2/10,6.4/10,6.0/10
Hampton Inn & Suites Avon Indianapolis,9.4 out of 10 Exceptional,186 verified reviews,9.4/10,9.6/10,9.6/10,9.4/10,9.4/10
Fairfield Inn & Suites Indianapolis Avon,8.6 out of 10 Excellent,314 verified reviews,8.8/10,9.0/10,8.2/10,8.8/10,8.8/10
Extended Stay America Select Suites Indianapolis N Carmel,6.6 out of 10 Good,370 verified reviews,7.0/10,7.4/10,5.8/10,6.6/10,6.8/10
Red Roof Inn Indianapolis - Greenwood,7.0 out of 10 Good,557 verified reviews,7.2/10,7.8/10,6.6/10,6.8/10,6.8/10
Homewood Suites by Hilton Indianapolis Carmel,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,8.2/10,8.0/10,8.2/10
