Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Washington Square Hotel,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.4/10,8.4/10,8.8/10,8.6/10
Sofitel New York,8.8 out of 10 Excellent,"1,002 verified reviews",9.2/10,9.0/10,8.2/10,8.6/10,8.6/10
Citadines Connect Fifth Avenue New York,8.0 out of 10 Very good,"1,004 verified reviews",8.4/10,8.2/10,7.4/10,8.0/10,8.0/10
Millennium Hotel Broadway Times Square,7.2 out of 10 Good,"6,442 verified reviews",7.2/10,8.0/10,6.4/10,6.8/10,7.2/10
JG Sohotel,8.6 out of 10 Excellent,173 verified reviews,8.8/10,9.2/10,7.6/10,8.4/10,8.2/10
Warwick New York,8.4 out of 10 Very good,"1,521 verified reviews",8.6/10,8.6/10,7.4/10,8.0/10,8.0/10
Hilton Garden Inn New York/Manhattan-Chelsea,8.4 out of 10 Very good,"1,615 verified reviews",8.6/10,8.8/10,7.8/10,8.0/10,8.0/10
Hampton Inn Manhattan-Chelsea,8.2 out of 10 Very good,"1,005 verified reviews",8.2/10,8.6/10,7.6/10,7.8/10,7.6/10
The Lucerne Hotel,9.4 out of 10 Exceptional,"1,352 verified reviews",9.6/10,9.4/10,8.6/10,9.2/10,8.8/10
Residence Inn by Marriott New York Manhattan/Times Square,8.6 out of 10 Excellent,"1,001 verified reviews",8.6/10,8.8/10,8.4/10,8.0/10,8.0/10
"The Herald by LuxUrban, Trademark Collection by Wyndham",8.0 out of 10 Very good,197 verified reviews,8.4/10,8.0/10,7.8/10,7.8/10,7.6/10
Pod 39,8.6 out of 10 Excellent,"1,396 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
Hampton Inn Madison Square Garden Area Hotel,8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.4/10,7.6/10,7.8/10,7.6/10
Trump International Hotel & Tower New York,9.4 out of 10 Exceptional,"1,002 verified reviews",9.6/10,9.6/10,9.4/10,9.4/10,9.2/10
Hampton Inn New York Times Square,8.2 out of 10 Very good,668 verified reviews,8.8/10,8.6/10,8.2/10,8.6/10,8.4/10
3 West Club,9.0 out of 10 Wonderful,952 verified reviews,9.2/10,9.2/10,8.2/10,8.4/10,8.4/10
Four Points by Sheraton Midtown-Times Square,8.8 out of 10 Excellent,"1,245 verified reviews",9.0/10,9.2/10,8.2/10,8.6/10,8.6/10
"Crowne Plaza Times Square Manhattan, an IHG Hotel",8.0 out of 10 Very good,"1,631 verified reviews",8.6/10,8.6/10,7.6/10,7.8/10,7.8/10
Freehand New York,8.2 out of 10 Very good,"1,005 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.2/10
Fairfield Inn New York Manhattan/Financial District,8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.4/10,7.4/10,7.8/10,7.6/10
M Social Hotel Times Square New York,9.0 out of 10 Wonderful,"4,063 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.8/10
Hotel Riu Plaza New York Times Square,8.8 out of 10 Excellent,"3,687 verified reviews",9.2/10,9.0/10,8.8/10,9.2/10,8.8/10
Hotel Beacon,9.2 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.4/10,8.6/10,8.8/10,8.8/10
Hotel Edison Times Square,7.8 out of 10 Good,"3,952 verified reviews",8.4/10,8.4/10,7.6/10,7.6/10,7.8/10
Heritage Hotel,8.0 out of 10 Very good,"1,088 verified reviews",8.0/10,8.6/10,7.2/10,7.4/10,7.6/10
The Belvedere Hotel,8.6 out of 10 Excellent,"3,229 verified reviews",9.0/10,8.8/10,7.8/10,8.4/10,8.2/10
Cambria Hotel New York - Chelsea,8.6 out of 10 Excellent,"1,001 verified reviews",8.6/10,9.0/10,8.0/10,8.6/10,8.2/10
AC Hotel by Marriott New York Downtown,9.2 out of 10 Wonderful,"1,016 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,8.8/10
"The Langham, New York, Fifth Avenue",9.4 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.6/10,9.2/10,9.4/10,9.2/10
DoubleTree by Hilton New York Downtown,7.6 out of 10 Good,"1,538 verified reviews",8.4/10,8.2/10,7.4/10,7.6/10,7.8/10
The Manhattan Club,8.8 out of 10 Excellent,"1,003 verified reviews",9.0/10,9.0/10,8.2/10,8.4/10,8.6/10
NobleDEN Hotel,9.8 out of 10 Exceptional,"1,001 verified reviews",9.8/10,9.8/10,9.2/10,9.8/10,9.4/10
The Standard High Line,8.6 out of 10 Excellent,"1,001 verified reviews",9.2/10,8.8/10,8.4/10,8.6/10,8.4/10
