Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
The Lombardy Hotel,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.0/10,8.4/10,8.4/10
Hilton Club The Quin New York,8.6 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.2/10,8.6/10,8.8/10
Equinox Hotel New York,9.2 out of 10 Wonderful,430 verified reviews,9.8/10,9.4/10,9.4/10,9.6/10,9.6/10
"The Carlyle, A Rosewood Hotel",9.2 out of 10 Wonderful,664 verified reviews,9.6/10,9.6/10,9.4/10,9.0/10,9.2/10
Hyatt Grand Central New York,7.8 out of 10 Good,"3,107 verified reviews",8.2/10,8.2/10,7.6/10,7.8/10,8.0/10
TownePlace Suites by Marriott New York Manhattan/Chelsea,8.2 out of 10 Very good,300 verified reviews,9.0/10,8.6/10,8.0/10,8.4/10,8.0/10
Tempo by Hilton New York Times Square,9.4 out of 10 Exceptional,"1,623 verified reviews",9.8/10,9.4/10,9.2/10,9.6/10,9.2/10
The Ridge Hotel,8.0 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,7.2/10,8.0/10,7.8/10
Courtyard by Marriott New York City Manhattan Fifth Avenue,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.0/10,8.2/10,8.4/10
Residence Inn by Marriott New York Downtown Manhattan/Financial District,8.0 out of 10 Very good,345 verified reviews,8.4/10,8.2/10,8.0/10,8.2/10,7.8/10
"Staypineapple, An Artful Hotel, Midtown",9.2 out of 10 Wonderful,"1,010 verified reviews",9.6/10,9.6/10,8.6/10,9.4/10,9.2/10
Conrad New York Downtown,9.4 out of 10 Exceptional,"1,003 verified reviews",9.8/10,9.4/10,9.4/10,9.6/10,9.6/10
AC Hotel by Marriott New York Times Square,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.6/10,9.2/10,8.8/10
Eurostars Wall Street,7.6 out of 10 Good,"1,002 verified reviews",7.8/10,8.2/10,7.4/10,7.2/10,7.6/10
TRYP by Wyndham New York City Times Square / Midtown,7.0 out of 10 Good,"1,592 verified reviews",7.6/10,7.2/10,7.0/10,7.2/10,7.4/10
Moxy NYC Downtown,8.6 out of 10 Excellent,"1,005 verified reviews",9.0/10,9.0/10,8.6/10,8.8/10,8.8/10
Hotel Giraffe by Library Hotel Collection,9.6 out of 10 Exceptional,"1,002 verified reviews",9.8/10,9.8/10,9.0/10,9.4/10,9.0/10
SpringHill Suites by Marriott New York Manhattan/Chelsea,8.6 out of 10 Excellent,412 verified reviews,9.2/10,9.0/10,8.6/10,8.8/10,8.2/10
Hampton Inn Manhattan Grand Central,8.4 out of 10 Very good,"1,075 verified reviews",8.6/10,9.0/10,7.8/10,8.0/10,8.0/10
SIXTY Lower East Side,7.4 out of 10 Good,"1,001 verified reviews",8.2/10,7.8/10,7.2/10,7.8/10,7.6/10
Residence Inn Marriott New York Downtown Manhattan/WTC Area,9.0 out of 10 Wonderful,"1,000 verified reviews",9.0/10,9.2/10,8.8/10,9.0/10,8.8/10
Omni Berkshire Place,9.2 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.4/10,8.8/10,9.4/10,9.2/10
Millennium Premier New York Times Square,7.2 out of 10 Good,"1,000 verified reviews",7.6/10,7.8/10,6.6/10,7.2/10,7.6/10
New York Hilton Midtown,8.2 out of 10 Very good,"1,606 verified reviews",8.6/10,8.4/10,8.0/10,8.2/10,8.2/10
Aloft New York Chelsea,9.2 out of 10 Wonderful,62 verified reviews,9.4/10,9.4/10,8.6/10,9.4/10,8.8/10
Smyth Tribeca,9.0 out of 10 Wonderful,718 verified reviews,9.4/10,9.4/10,8.6/10,9.0/10,8.8/10
The Benjamin Royal Sonesta New York,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,7.8/10,8.4/10,8.2/10
"The Chatwal, In The Unbound Collection By Hyatt",9.4 out of 10 Exceptional,530 verified reviews,9.8/10,9.6/10,9.0/10,9.4/10,8.8/10
The Peninsula New York,9.4 out of 10 Exceptional,"1,002 verified reviews",9.8/10,9.6/10,9.2/10,9.4/10,9.0/10
Da Vinci Hotel,7.4 out of 10 Good,"1,004 verified reviews",8.0/10,8.0/10,6.6/10,7.0/10,7.0/10
Concorde Hotel New York,9.0 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.2/10,8.4/10,9.2/10,9.0/10
Casablanca Hotel by Library Hotel Collection,9.6 out of 10 Exceptional,"1,001 verified reviews",9.8/10,9.8/10,9.2/10,9.2/10,9.0/10
Moderne Hotel,8.4 out of 10 Very good,"1,002 verified reviews",8.8/10,9.0/10,7.6/10,8.4/10,8.2/10
The Wall Street Inn,8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,8.8/10,8.2/10,8.6/10,8.6/10
Made Hotel,9.2 out of 10 Wonderful,296 verified reviews,9.6/10,9.6/10,8.6/10,9.4/10,9.2/10
"The Blakely by LuxUrban, Trademark Collection by Wyndham",8.0 out of 10 Very good,315 verified reviews,8.4/10,8.4/10,7.0/10,7.4/10,7.2/10
Fairfield Inn by Marriott New York Manhattan/Times Square,8.6 out of 10 Excellent,"1,139 verified reviews",8.4/10,9.0/10,8.0/10,8.2/10,8.2/10
"Martinique New York on Broadway, Curio Collection by Hilton",8.8 out of 10 Excellent,"1,004 verified reviews",9.4/10,9.0/10,8.6/10,8.8/10,8.4/10
"The Beekman, A Thompson Hotel, by Hyatt",9.2 out of 10 Wonderful,944 verified reviews,9.6/10,9.4/10,9.2/10,9.4/10,9.0/10
Chelsea Inn,8.0 out of 10 Very good,"1,002 verified reviews",8.4/10,7.8/10,7.4/10,7.8/10,7.8/10
Conrad New York Midtown,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.6/10,8.6/10,8.4/10,9.0/10
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",7.8 out of 10 Good,"1,003 verified reviews",8.2/10,8.4/10,7.4/10,7.8/10,7.6/10
The Ned NoMad,8.4 out of 10 Very good,23 verified reviews,9.4/10,8.4/10,7.8/10,8.4/10,8.0/10
Hyatt Union Square New York,8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.4/10,9.0/10,8.6/10
Untitled at 3 Freeman Alley,9.2 out of 10 Wonderful,180 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.2/10
Renaissance New York Times Square Hotel by Marriott,9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,8.6/10,8.8/10,8.6/10
HGU New York,8.0 out of 10 Very good,"1,000 verified reviews",8.6/10,8.4/10,7.4/10,8.0/10,8.0/10
Hotel Barriere Fouquet's New York,10 out of 10 Exceptional,19 verified reviews,10.0/10,10.0/10,10.0/10,10.0/10,9.6/10
New York Marriott Marquis,9.0 out of 10 Wonderful,"2,504 verified reviews",9.4/10,9.0/10,8.8/10,9.4/10,8.8/10
Royalton Park Avenue,8.4 out of 10 Very good,"1,004 verified reviews",9.0/10,8.6/10,8.2/10,8.4/10,8.8/10
Best Western Plus Soho Hotel,9.2 out of 10 Wonderful,133 verified reviews,9.8/10,9.8/10,8.8/10,9.4/10,9.0/10
Four Seasons Hotel New York Downtown,9.6 out of 10 Exceptional,339 verified reviews,9.8/10,9.6/10,9.6/10,9.8/10,9.6/10
"InterContinental New York Barclay, an IHG Hotel",8.8 out of 10 Excellent,"1,003 verified reviews",9.2/10,8.8/10,8.4/10,9.0/10,8.6/10
Casa Cipriani New York,9.8 out of 10 Exceptional,31 verified reviews,10.0/10,10.0/10,9.6/10,9.8/10,9.2/10
"voco Times Square South New York, an IHG Hotel",8.6 out of 10 Excellent,946 verified reviews,9.0/10,8.8/10,8.2/10,8.6/10,8.6/10
Residence Inn New York Manhattan/Central Park,9.0 out of 10 Wonderful,"1,003 verified reviews",8.8/10,8.8/10,8.8/10,8.6/10,8.6/10
Park Hyatt New York,9.0 out of 10 Wonderful,263 verified reviews,9.4/10,9.0/10,8.6/10,9.4/10,9.0/10
YOTEL New York Times Square,7.2 out of 10 Good,"2,352 verified reviews",7.8/10,7.6/10,6.8/10,7.2/10,7.8/10
W New York - Times Square,8.4 out of 10 Very good,"1,006 verified reviews",8.6/10,9.0/10,8.2/10,8.2/10,8.2/10
Hyatt Centric Times Square New York,9.2 out of 10 Wonderful,"1,362 verified reviews",9.6/10,9.2/10,8.6/10,9.2/10,8.8/10
The Sohotel,8.4 out of 10 Very good,"1,001 verified reviews",9.0/10,9.0/10,7.8/10,8.6/10,8.0/10
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",9.0 out of 10 Wonderful,791 verified reviews,9.2/10,9.0/10,8.6/10,9.0/10,8.8/10
Hilton Club West 57th Street New York,9.4 out of 10 Exceptional,314 verified reviews,9.6/10,9.4/10,8.6/10,9.4/10,9.0/10
The Allen Hotel,8.8 out of 10 Excellent,652 verified reviews,9.0/10,9.0/10,7.8/10,8.8/10,8.2/10
Hotel 48LEX New York,8.2 out of 10 Very good,"1,001 verified reviews",8.8/10,8.6/10,7.8/10,8.4/10,7.8/10
Hotel Hayden,7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.2/10,7.0/10,7.6/10,7.0/10
"Hotel Indigo Lower East Side New York, an IHG Hotel",8.0 out of 10 Very good,"1,004 verified reviews",8.8/10,8.4/10,7.6/10,8.2/10,8.0/10
"Thompson Central Park New York, by Hyatt",9.0 out of 10 Wonderful,487 verified reviews,9.4/10,9.0/10,8.6/10,9.0/10,8.8/10
Arthouse Hotel New York City,8.4 out of 10 Very good,"1,342 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.2/10
Fairfield Inn & Suites New York Manhattan/Downtown East,8.6 out of 10 Excellent,967 verified reviews,9.2/10,9.0/10,8.4/10,8.8/10,8.2/10
Ink 48 Hotel,8.4 out of 10 Very good,"1,007 verified reviews",8.8/10,8.6/10,8.0/10,8.6/10,8.4/10
"voco The Franklin New York, an IHG Hotel",9.2 out of 10 Wonderful,483 verified reviews,9.6/10,9.8/10,8.2/10,9.2/10,8.8/10
Hyatt Centric Wall Street New York,8.8 out of 10 Excellent,"1,003 verified reviews",9.0/10,9.2/10,8.8/10,8.8/10,8.6/10
Sheraton New York Times Square Hotel,8.0 out of 10 Very good,"2,053 verified reviews",8.4/10,8.2/10,7.8/10,8.0/10,7.8/10
Hudson River Hotel,6.6 out of 10 Good,"1,003 verified reviews",6.8/10,7.4/10,5.2/10,6.0/10,5.2/10
Courtyard by Marriott New York Manhattan / Central Park,8.6 out of 10 Excellent,"1,003 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
Night Hotel Broadway,6.2 out of 10 Good,"1,373 verified reviews",6.2/10,7.0/10,5.8/10,5.4/10,5.8/10
"Mandarin Oriental, New York",9.2 out of 10 Wonderful,455 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,8.8/10
"InterContinental New York Times Square, an IHG Hotel",8.4 out of 10 Very good,"1,180 verified reviews",8.8/10,8.6/10,8.0/10,8.6/10,8.4/10
The FIDI Hotel,8.6 out of 10 Excellent,260 verified reviews,9.4/10,9.2/10,8.4/10,9.0/10,8.6/10
"The Lexington Hotel, Autograph Collection",8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.0/10
The Westin New York at Times Square,8.8 out of 10 Excellent,"3,846 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.4/10
The Marmara Park Avenue,8.6 out of 10 Excellent,931 verified reviews,9.0/10,8.8/10,8.4/10,8.8/10,8.2/10
The Times Square EDITION,9.2 out of 10 Wonderful,845 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.2/10
The Park Ave North,7.8 out of 10 Good,647 verified reviews,8.6/10,8.4/10,7.4/10,8.2/10,8.2/10
"11 Howard, New York, a Member of Design Hotels",8.4 out of 10 Very good,778 verified reviews,9.0/10,8.8/10,7.4/10,8.4/10,7.4/10
Wyndham Garden Chinatown,8.0 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,7.6/10,8.0/10,7.8/10
"Dream Downtown, by Hyatt",7.4 out of 10 Good,"1,001 verified reviews",8.2/10,7.8/10,7.0/10,7.6/10,7.4/10
The Plaza - A Fairmont Managed Hotel,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.8/10
Moxy NYC Lower East Side,8.8 out of 10 Excellent,700 verified reviews,9.2/10,9.0/10,8.6/10,9.2/10,8.6/10
"Distrikt Hotel New York City, Tapestry Collection by Hilton",8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,7.6/10,8.2/10,8.2/10
San Carlos Hotel,9.4 out of 10 Exceptional,"1,022 verified reviews",9.6/10,9.6/10,8.8/10,9.0/10,8.8/10
Best Western Plus Hospitality House,8.8 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.4/10,8.4/10,8.4/10
The Central Park North,7.0 out of 10 Good,651 verified reviews,8.0/10,7.4/10,6.8/10,7.0/10,7.6/10
The New York EDITION,9.0 out of 10 Wonderful,396 verified reviews,9.6/10,9.2/10,8.8/10,9.4/10,9.0/10
Courtyard by Marriott New York Manhattan/Upper East Side,8.2 out of 10 Very good,"1,222 verified reviews",8.4/10,8.4/10,7.2/10,7.8/10,7.8/10
La Quinta Inn & Suites by Wyndham New York City Central Park,6.8 out of 10 Good,"1,001 verified reviews",7.2/10,7.6/10,6.2/10,6.4/10,6.6/10
JW Marriott Essex House New York,8.8 out of 10 Excellent,"1,004 verified reviews",9.0/10,9.0/10,8.6/10,8.6/10,8.4/10
East Village Hotel,8.2 out of 10 Very good,605 verified reviews,8.6/10,8.0/10,7.6/10,8.2/10,8.4/10
Hyatt Place New York Midtown South,8.8 out of 10 Excellent,"1,092 verified reviews",9.0/10,9.0/10,8.4/10,8.6/10,8.4/10
"Gild Hall, A Thompson Hotel, by Hyatt",9.0 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.4/10,8.6/10,9.2/10,8.8/10
The Historic Blue Moon Hotel - NYC,7.6 out of 10 Good,64 verified reviews,8.4/10,8.0/10,6.8/10,7.8/10,7.4/10
Chelsea Pines Inn,8.2 out of 10 Very good,859 verified reviews,8.6/10,8.8/10,7.6/10,7.8/10,8.4/10
Renaissance New York Harlem Hotel,8.8 out of 10 Excellent,137 verified reviews,9.2/10,9.0/10,9.0/10,9.2/10,8.6/10
W New York - Union Square,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.4/10
"The Ritz-Carlton New York, Central Park",9.2 out of 10 Wonderful,421 verified reviews,9.6/10,9.4/10,8.6/10,9.2/10,8.8/10
The St. Regis New York,9.2 out of 10 Wonderful,170 verified reviews,9.8/10,9.4/10,8.8/10,9.4/10,9.2/10
"The Ritz-Carlton New York, NoMad",8.2 out of 10 Very good,11 verified reviews,9.0/10,8.6/10,8.8/10,8.4/10,9.8/10
StudioPlus JG Stay,7.4 out of 10 Good,16 verified reviews,8.0/10,7.4/10,7.0/10,7.2/10,7.2/10
Kasa Lantern Lower East Side,8.2 out of 10 Very good,31 verified reviews,9.0/10,8.8/10,8.6/10,8.8/10,8.6/10
New York Marriott Downtown,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.0/10,8.6/10,9.2/10,8.6/10
Macy Empire Apartments,6.8 out of 10 Good,161 verified reviews,7.2/10,6.8/10,7.4/10,6.2/10,9.0/10
NYC Empire Apartments,7.0 out of 10 Good,120 verified reviews,7.6/10,7.2/10,7.2/10,7.0/10,5.2/10
Studios in New York,7.6 out of 10 Good,112 verified reviews,8.0/10,7.2/10,7.4/10,7.4/10,7.4/10
