Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Fairfield Inn & Suites by Marriott Pittsburgh Downtown,8.6 out of 10 Excellent,477 verified reviews,9.0/10,8.8/10,8.0/10,9.0/10,8.8/10
The Penn Stater Hotel and Conference Center,9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Normandy Farm Hotel and Conference Center,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
TRYP by Wyndham Pittsburgh/Lawrenceville,8.6 out of 10 Excellent,554 verified reviews,9.0/10,8.8/10,8.2/10,9.0/10,8.6/10
Howard Johnson by Wyndham Hershey,7.0 out of 10 Good,"1,000 verified reviews",7.6/10,7.6/10,6.4/10,6.8/10,6.8/10
Drury Plaza Hotel Pittsburgh Downtown,9.6 out of 10 Exceptional,"1,558 verified reviews",9.6/10,9.8/10,9.4/10,9.6/10,9.4/10
"Crowne Plaza Philadelphia - Valley Forge, an IHG Hotel",8.4 out of 10 Very good,"1,002 verified reviews",8.4/10,8.6/10,7.8/10,8.2/10,8.2/10
Eisenhower Hotel & Conference Center,6.4 out of 10 Good,"1,000 verified reviews",6.4/10,7.2/10,6.4/10,5.6/10,6.4/10
"Country Inn & Suites by Radisson, Lehighton (Jim Thorpe), PA",8.8 out of 10 Excellent,"1,004 verified reviews",9.0/10,9.2/10,8.4/10,8.8/10,8.8/10
Springhill Suites by Marriott Pittsburgh North Shore,8.2 out of 10 Very good,"1,002 verified reviews",8.4/10,8.6/10,7.8/10,8.2/10,8.2/10
Best Western Plus Intercourse Village Inn & Suites,9.6 out of 10 Exceptional,"1,003 verified reviews",9.8/10,9.8/10,9.4/10,9.6/10,9.4/10
Ramada by Wyndham State College Hotel & Conference Center,6.8 out of 10 Good,"1,004 verified reviews",6.8/10,7.8/10,6.8/10,6.2/10,6.6/10
Courtyard by Marriott Philadelphia City Avenue,8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.4/10,8.0/10,8.4/10,8.2/10
"EVEN Hotel Pittsburgh Downtown, an IHG Hotel",8.4 out of 10 Very good,"1,005 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.8/10
Comfort Inn & Suites,7.6 out of 10 Good,512 verified reviews,7.6/10,8.2/10,7.6/10,7.4/10,7.8/10
Liberty Mountain Resort,8.8 out of 10 Excellent,294 verified reviews,9.4/10,9.2/10,9.0/10,9.0/10,9.0/10
"Country Inn & Suites by Radisson, Lancaster (Amish Country), PA",9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,9.0/10
Best Western Inn At Blakeslee-pocono,9.0 out of 10 Wonderful,"1,001 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,9.0/10
Hyatt Place Allentown / Lehigh Valley,9.6 out of 10 Exceptional,187 verified reviews,9.6/10,9.6/10,9.6/10,9.8/10,9.4/10
Microtel Inn & Suites by Wyndham Dickson City/Scranton,8.8 out of 10 Excellent,"1,241 verified reviews",8.8/10,9.2/10,8.4/10,8.6/10,8.6/10
The Maj Hotel,9.4 out of 10 Exceptional,100 verified reviews,10.0/10,9.6/10,8.4/10,9.8/10,9.6/10
Skytop Lodge,9.0 out of 10 Wonderful,647 verified reviews,9.4/10,9.2/10,9.4/10,9.0/10,9.4/10
Quality Inn Harrisburg - Hershey Area,8.0 out of 10 Very good,"1,000 verified reviews",8.0/10,8.4/10,8.0/10,7.6/10,8.0/10
Delta Hotels by Marriott Allentown Lehigh Valley,9.0 out of 10 Wonderful,253 verified reviews,9.2/10,9.2/10,9.4/10,9.2/10,9.2/10
Bird in Hand Family Inn,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,9.0/10,8.6/10,9.0/10
Greystone Manor Victorian Inn,8.2 out of 10 Very good,258 verified reviews,8.8/10,8.4/10,7.8/10,8.2/10,8.6/10
Best Western Plus New Cumberland Inn & Suites,7.4 out of 10 Good,902 verified reviews,7.6/10,8.2/10,7.2/10,7.6/10,8.0/10
Hyatt Place Bethlehem,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,9.0/10,8.6/10
"Comfort Inn, Erie - Near Presque Isle",8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,7.8/10,8.0/10,8.2/10
Radisson Lackawanna Station Hotel Scranton,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.0/10,8.6/10,8.4/10
Wyndham Pittsburgh University Center,7.6 out of 10 Good,"1,229 verified reviews",7.8/10,8.2/10,6.8/10,7.2/10,7.4/10
Baymont by Wyndham Bartonsville Poconos,7.8 out of 10 Good,"1,003 verified reviews",7.6/10,8.6/10,7.6/10,7.2/10,7.6/10
Best Western Plus Wilkes Barre-Scranton Airport Hotel,9.0 out of 10 Wonderful,931 verified reviews,9.4/10,9.0/10,8.6/10,9.2/10,8.6/10
Residence Inn by Marriott Pittsburgh North Shore,8.8 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.0/10,8.6/10,8.8/10,8.8/10
Comfort Suites near Penn State,9.4 out of 10 Exceptional,"1,002 verified reviews",9.6/10,9.6/10,9.4/10,9.2/10,9.2/10
Super 8 by Wyndham State College,8.2 out of 10 Very good,"1,001 verified reviews",8.2/10,8.6/10,7.4/10,7.8/10,7.8/10
"Great Wolf Lodge Pocono Mountains, PA",8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,8.4/10,8.4/10,8.0/10
Best Western Harrisburg North Hotel,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,8.2/10,7.2/10,7.4/10,7.4/10
Best Western Plus Harrisburg Mechanicsburg,7.8 out of 10 Good,822 verified reviews,8.0/10,8.2/10,7.4/10,8.0/10,7.4/10
Best Western Plus Harrisburg East Inn & Suites,6.8 out of 10 Good,"1,003 verified reviews",6.8/10,7.6/10,6.6/10,6.8/10,6.8/10
Comfort Suites Bethlehem Near Lehigh University and LVI Airport,8.4 out of 10 Very good,"1,000 verified reviews",8.4/10,9.0/10,8.2/10,8.2/10,8.0/10
Delta Hotels by Marriott Philadelphia Airport,8.0 out of 10 Very good,"1,523 verified reviews",8.6/10,8.6/10,8.0/10,8.4/10,8.4/10
Best Western Nittany Inn Milroy,8.6 out of 10 Excellent,684 verified reviews,8.8/10,9.0/10,7.8/10,8.4/10,8.2/10
Hyatt House Allentown / Lehigh Valley,9.6 out of 10 Exceptional,210 verified reviews,9.8/10,9.6/10,9.8/10,9.8/10,9.6/10
Best Western Grantville/Hershey,7.6 out of 10 Good,"1,000 verified reviews",7.6/10,8.0/10,7.2/10,7.4/10,7.4/10
Super 8 by Wyndham Grove City,8.2 out of 10 Very good,529 verified reviews,8.2/10,8.6/10,7.6/10,7.8/10,7.8/10
Days Inn & Suites by Wyndham Lancaster Amish Country,7.4 out of 10 Good,"1,002 verified reviews",7.2/10,8.0/10,6.8/10,7.0/10,7.4/10
"The Notary Hotel, Philadelphia, Autograph Collection",9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.8/10,9.4/10,9.0/10
Stroudsmoor Country Inn,8.4 out of 10 Very good,766 verified reviews,9.0/10,8.8/10,8.4/10,8.4/10,8.2/10
Best Western Carlisle,8.2 out of 10 Very good,830 verified reviews,8.4/10,8.4/10,8.0/10,8.0/10,8.0/10
Best Western Plus Cranberry-Pittsburgh North,9.4 out of 10 Exceptional,999 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
Sheraton Pittsburgh Airport Hotel,8.6 out of 10 Excellent,864 verified reviews,8.8/10,8.8/10,8.0/10,8.4/10,8.4/10
Best Western Danville Inn,8.4 out of 10 Very good,734 verified reviews,8.8/10,8.8/10,8.2/10,8.6/10,8.6/10
Wyndham Lancaster Resort & Convention Center,7.8 out of 10 Good,835 verified reviews,8.0/10,7.8/10,7.8/10,8.0/10,7.8/10
Cobblestone Inn & Suites - Ambridge,9.2 out of 10 Wonderful,363 verified reviews,9.6/10,9.4/10,8.4/10,9.4/10,9.0/10
"Country Inn & Suites by Radisson, Frackville (Pottsville), PA",8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.6/10
La Quinta Inn & Suites by Wyndham York,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,8.0/10,8.6/10,8.4/10
Courtyard Philadelphia Coatesville/Exton,9.0 out of 10 Wonderful,426 verified reviews,9.4/10,9.0/10,8.0/10,9.2/10,8.6/10
Park Inn by Radisson Sharon,6.8 out of 10 Good,786 verified reviews,7.2/10,7.8/10,6.0/10,6.4/10,6.0/10
HYATT house Philadelphia/Plymouth Meeting,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.6/10,8.6/10,8.6/10
Wingate by Wyndham Grove City,8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,7.8/10,7.8/10,8.2/10
Best Western Plus Philadelphia Convention Center Hotel,7.4 out of 10 Good,"1,002 verified reviews",7.8/10,8.0/10,7.2/10,7.6/10,7.6/10
Hampton Inn Pine Grove,9.2 out of 10 Wonderful,438 verified reviews,9.4/10,9.4/10,8.8/10,9.2/10,8.4/10
Simmons Motel,7.8 out of 10 Good,689 verified reviews,8.4/10,8.6/10,7.0/10,7.6/10,7.8/10
Wingate by Wyndham Erie,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,9.0/10,8.4/10,8.6/10,8.8/10
Cobblestone Inn & Suites - St Marys,9.4 out of 10 Exceptional,275 verified reviews,9.8/10,9.4/10,8.8/10,9.8/10,9.4/10
Microtel Inn & Suites by Wyndham Mansfield,8.2 out of 10 Very good,714 verified reviews,8.8/10,8.6/10,8.0/10,8.4/10,8.4/10
Ledges Hotel,9.0 out of 10 Wonderful,163 verified reviews,9.4/10,9.4/10,8.2/10,9.0/10,8.8/10
Best Western Plus Wilkes Barre Center City,8.8 out of 10 Excellent,999 verified reviews,9.0/10,9.4/10,8.6/10,8.4/10,8.6/10
Red Roof Inn Hershey,7.4 out of 10 Good,813 verified reviews,7.8/10,7.8/10,6.8/10,7.4/10,7.4/10
SpringHill Suites Pittsburgh Latrobe,9.4 out of 10 Exceptional,909 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.2/10
TownePlace Suites Grove City Mercer/Outlets,9.4 out of 10 Exceptional,986 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.4/10
Rodeway Inn State College - near University,8.0 out of 10 Very good,688 verified reviews,8.6/10,8.6/10,7.6/10,8.0/10,8.0/10
Best Western Plus Poconos Hotel,7.6 out of 10 Good,"1,003 verified reviews",7.6/10,8.0/10,7.0/10,7.2/10,7.4/10
Comfort Inn & Suites Wilkes Barre - Arena,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,9.0/10,8.4/10,8.6/10,8.6/10
ROOST Midtown,9.6 out of 10 Exceptional,205 verified reviews,9.8/10,9.8/10,9.4/10,9.6/10,9.0/10
Best Western Plus Clarks Summit Scranton,9.0 out of 10 Wonderful,496 verified reviews,9.0/10,9.0/10,8.4/10,9.0/10,8.6/10
Super 8 by Wyndham Gettysburg,8.6 out of 10 Excellent,"1,005 verified reviews",8.6/10,9.0/10,8.4/10,8.4/10,8.8/10
Quality Inn & Suites,7.6 out of 10 Good,958 verified reviews,8.2/10,8.4/10,7.6/10,7.6/10,7.8/10
Hilton Garden Inn Allentown Bethlehem Airport,8.6 out of 10 Excellent,"1,002 verified reviews",8.8/10,8.8/10,8.2/10,8.4/10,8.6/10
Hampton Inn Washington,8.6 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.0/10,8.6/10,8.8/10,8.6/10
Super 8 by Wyndham Burnham/Lewistown,7.6 out of 10 Good,497 verified reviews,8.0/10,8.2/10,6.4/10,7.4/10,7.0/10
Fairfield Inn by Marriott Erie Millcreek Mall,8.4 out of 10 Very good,"1,002 verified reviews",8.4/10,8.8/10,8.4/10,8.2/10,8.6/10
Wingate by Wyndham Altoona Downtown/Medical Center,9.2 out of 10 Wonderful,"1,003 verified reviews",9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
Country Inn & Suites by Radisson Erie,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.2/10
Hampton Inn Chambersburg,9.2 out of 10 Wonderful,316 verified reviews,9.4/10,9.4/10,9.2/10,9.2/10,9.2/10
Quality Inn Pittsburgh Airport,7.4 out of 10 Good,608 verified reviews,7.4/10,8.2/10,7.2/10,6.8/10,6.8/10
Super 8 by Wyndham Clearfield,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.8/10,7.6/10,8.2/10,8.0/10
Sheraton Bucks County Langhorne,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,8.0/10,8.4/10,8.4/10
Courtyard Pittsburgh Airport Settlers Ridge,9.2 out of 10 Wonderful,"1,003 verified reviews",9.6/10,9.2/10,8.6/10,9.4/10,8.8/10
Super 8 by Wyndham Stroudsburg,8.0 out of 10 Very good,"1,003 verified reviews",8.0/10,8.6/10,7.6/10,7.6/10,7.6/10
Hilton Garden Inn Pittsburgh/Cranberry,9.0 out of 10 Wonderful,982 verified reviews,9.4/10,9.4/10,8.4/10,9.4/10,9.0/10
Best Western DuBois Hotel,8.2 out of 10 Very good,747 verified reviews,8.6/10,8.8/10,8.2/10,8.2/10,8.2/10
Microtel Inn & Suites by Wyndham Wilkes Barre,7.2 out of 10 Good,"1,006 verified reviews",7.6/10,7.4/10,7.0/10,7.2/10,7.2/10
"Independence Park Hotel, BW Premier Collection",9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,9.0/10,9.0/10,9.2/10
Holiday Inn Philadelphia Arpt-Stadium Area,7.4 out of 10 Good,"1,050 verified reviews",8.0/10,7.6/10,7.0/10,7.6/10,7.6/10
"Candlewood Suites Harrisburg I-81 - Hershey Area, an IHG Hotel",8.0 out of 10 Very good,934 verified reviews,8.2/10,8.2/10,7.2/10,8.2/10,7.6/10
"Genetti Hotel, SureStay Collection by Best Western",8.8 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.4/10,8.6/10,8.4/10,8.6/10
Ramada by Wyndham Whitehall/Allentown,8.2 out of 10 Very good,630 verified reviews,8.0/10,8.6/10,7.8/10,8.0/10,8.2/10
Fairfield Inn & Suites by Marriott Pottstown Limerick,9.0 out of 10 Wonderful,229 verified reviews,9.2/10,9.4/10,8.6/10,9.2/10,8.8/10
Comfort Suites Scranton near Montage Mountain,8.6 out of 10 Excellent,"1,005 verified reviews",8.6/10,8.8/10,8.2/10,8.6/10,8.4/10
Baymont by Wyndham Gettysburg,7.0 out of 10 Good,709 verified reviews,7.0/10,8.0/10,6.6/10,6.6/10,6.8/10
Sonesta ES Suites Allentown Bethlehem Airport,8.0 out of 10 Very good,476 verified reviews,8.4/10,8.4/10,7.6/10,8.0/10,7.6/10
The Fallon Hotel,5.8 out of 10,32 verified reviews,6.8/10,7.6/10,6.0/10,5.6/10,6.8/10
Ramada by Wyndham Indiana,7.4 out of 10 Good,816 verified reviews,7.6/10,8.4/10,7.2/10,7.0/10,7.2/10
Hawthorn Suites BY Wyndham Erie,7.4 out of 10 Good,770 verified reviews,7.0/10,8.0/10,7.6/10,7.0/10,7.4/10
Fairfield Inn & Suites by Marriott Washington Casino Area,9.4 out of 10 Exceptional,809 verified reviews,9.6/10,9.4/10,8.8/10,9.6/10,9.2/10
"Holiday Inn Express Grove City, an IHG Hotel",8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.4/10,8.6/10,8.6/10,8.4/10
Hotel Anthracite,9.0 out of 10 Wonderful,681 verified reviews,9.4/10,9.2/10,8.8/10,9.2/10,8.8/10
Amish Country Motel,9.4 out of 10 Exceptional,500 verified reviews,9.6/10,9.6/10,8.6/10,9.2/10,9.2/10
Comfort Suites Near Gettysburg Battlefield Visitor Center,8.2 out of 10 Very good,"1,001 verified reviews",8.2/10,8.6/10,8.0/10,8.0/10,8.2/10
Best Western Plus Philadelphia Airport S. At Widener Univ.,7.0 out of 10 Good,"1,001 verified reviews",7.2/10,8.2/10,6.6/10,7.0/10,7.0/10
Fairfield Inn by Marriott Philadelphia West Chester/Exton,8.4 out of 10 Very good,609 verified reviews,8.6/10,8.8/10,7.8/10,8.2/10,8.6/10
Best Western Carlisle South,7.0 out of 10 Good,146 verified reviews,7.4/10,7.8/10,7.0/10,7.2/10,7.6/10
American Inn,6.6 out of 10 Good,"1,000 verified reviews",6.8/10,7.6/10,5.4/10,6.2/10,6.2/10
Comfort Inn,8.6 out of 10 Excellent,460 verified reviews,9.0/10,9.0/10,8.4/10,8.6/10,8.4/10
Quality Inn East Stroudsburg - Poconos,7.2 out of 10 Good,"1,001 verified reviews",7.2/10,8.2/10,6.8/10,7.0/10,7.0/10
Ramada by Wyndham Ligonier,8.0 out of 10 Very good,605 verified reviews,8.2/10,8.6/10,7.6/10,7.4/10,7.4/10
Four Points by Sheraton Philadelphia Northeast,8.2 out of 10 Very good,"1,002 verified reviews",8.4/10,8.4/10,7.8/10,8.2/10,8.4/10
Comfort Inn Lancaster County,7.4 out of 10 Good,"1,002 verified reviews",7.4/10,8.0/10,6.6/10,7.2/10,7.0/10
Best Western Fort Washington Inn,6.8 out of 10 Good,"1,003 verified reviews",6.8/10,7.6/10,6.6/10,6.6/10,6.2/10
Hampton Inn Latrobe,9.0 out of 10 Wonderful,638 verified reviews,9.0/10,9.2/10,9.0/10,8.8/10,9.0/10
Best Western Plus Reading Inn & Suites,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.8/10,7.6/10,8.0/10,7.6/10
Baymont by Wyndham Dunmore,8.0 out of 10 Very good,884 verified reviews,8.2/10,8.6/10,7.6/10,8.0/10,8.0/10
Days Hotel by Wyndham Allentown Airport / Lehigh Valley,6.8 out of 10 Good,"1,137 verified reviews",6.8/10,6.8/10,6.4/10,6.6/10,6.8/10
Super 8 by Wyndham Mifflinville Near Bloomsburg,8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.8/10,7.4/10,8.0/10,7.8/10
Avalon Hotel & Conference Center,6.0 out of 10 Good,"1,001 verified reviews",6.2/10,7.6/10,5.4/10,5.4/10,5.8/10
"Home2 Suites by Hilton King of Prussia/Valley Forge, PA",7.8 out of 10 Good,447 verified reviews,8.2/10,8.2/10,8.2/10,8.2/10,8.4/10
