Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hampton Inn Alexandria-Old Town/King St. Metro,8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.4/10,8.8/10,8.8/10
Hilton Alexandria Old Town,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.6/10,9.0/10,8.8/10
Hilton Alexandria Mark Center,7.8 out of 10 Good,"1,001 verified reviews",8.2/10,8.2/10,7.4/10,8.0/10,8.0/10
Hilton Garden Inn Alexandria Old Town National Harbor,8.8 out of 10 Excellent,"1,005 verified reviews",9.4/10,9.0/10,8.0/10,9.0/10,8.6/10
Hilton Garden Inn Bethesda Downtown,8.4 out of 10 Very good,"1,000 verified reviews",8.8/10,8.6/10,7.8/10,8.4/10,8.2/10
Embassy Suites by Hilton Alexandria Old Town,9.0 out of 10 Wonderful,"1,006 verified reviews",9.0/10,9.2/10,8.6/10,8.8/10,8.8/10
Comfort Inn Falls Church - Tysons Corner,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,8.0/10,8.0/10,8.0/10
"Holiday Inn Express Washington DC - BW Parkway, an IHG Hotel",7.8 out of 10 Good,978 verified reviews,8.2/10,8.4/10,7.4/10,7.8/10,7.4/10
"Hotel Indigo Old Town Alexandria, an IHG Hotel",9.2 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.2/10,8.8/10,9.4/10,9.0/10
AC Hotel by Marriott Bethesda Downtown,9.2 out of 10 Wonderful,228 verified reviews,9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Residence Inn Alexandria Old Town/Duke Street by Marriott,9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.6/10,9.2/10,9.2/10,9.2/10
Doubletree by Hilton Washington DC Silver Spring,8.0 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,7.6/10,8.0/10,8.0/10
Hyatt Regency Bethesda,8.8 out of 10 Excellent,"1,068 verified reviews",9.2/10,8.8/10,8.2/10,8.8/10,8.6/10
Comfort Inn Oxon Hill,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,8.2/10,7.2/10,7.2/10,7.6/10
The Westin Alexandria Old Town,9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,9.2/10
Marriott Bethesda Downtown at Marriott HQ,9.4 out of 10 Exceptional,135 verified reviews,9.8/10,9.6/10,8.6/10,9.6/10,9.4/10
"Holiday Inn Alexandria at Carlyle, an IHG Hotel",7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.2/10,7.2/10,7.6/10,7.8/10
"The Bethesdan Hotel, Tapestry Collection by Hilton",8.6 out of 10 Excellent,"1,066 verified reviews",9.2/10,8.8/10,8.4/10,8.8/10,8.8/10
American Inn Of Bethesda,6.6 out of 10 Good,"1,004 verified reviews",6.8/10,7.4/10,6.2/10,6.2/10,6.2/10
Econo Lodge Metro,8.0 out of 10 Very good,"1,007 verified reviews",8.6/10,8.4/10,7.2/10,7.8/10,7.4/10
Extended Stay America Suites DC Alexandria Eisenhower Ave,6.0 out of 10 Good,918 verified reviews,6.4/10,6.6/10,5.8/10,6.0/10,6.4/10
Hampton Inn & Suites Falls Church,8.8 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.4/10,9.0/10,8.6/10
Hampton Inn & Suites Alexandria Old Town Area South,8.6 out of 10 Excellent,"1,393 verified reviews",8.8/10,9.0/10,8.4/10,8.6/10,8.4/10
Budget Host Alexandria,6.0 out of 10 Good,127 verified reviews,6.2/10,6.8/10,4.2/10,5.8/10,6.6/10
"AC Hotel by Marriott National Harbor Washington, D.C. Area",8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.0/10,9.0/10,8.8/10
Red Roof Inn PLUS+ Washington DC - Alexandria ,7.2 out of 10 Good,"1,006 verified reviews",7.0/10,7.6/10,6.6/10,6.8/10,6.8/10
"Country Inn & Suites by Radisson, Camp Springs (Andrews Air Force Base), MD",8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
The Westin Washington National Harbor,8.4 out of 10 Very good,"1,005 verified reviews",8.8/10,8.6/10,8.2/10,8.6/10,8.6/10
Hampton Inn & Suites Camp Springs/Andrews AFB,8.6 out of 10 Excellent,881 verified reviews,9.0/10,8.6/10,8.0/10,9.0/10,8.4/10
Clarion Inn Falls Church - Arlington,7.6 out of 10 Good,511 verified reviews,8.0/10,8.4/10,7.6/10,7.2/10,7.6/10
Meeting House,9.4 out of 10 Exceptional,47 verified reviews,9.8/10,9.4/10,9.0/10,9.4/10,9.6/10
Cambria Hotel College Park,9.4 out of 10 Exceptional,851 verified reviews,9.8/10,9.4/10,9.2/10,9.6/10,9.2/10
Gaylord National Resort & Convention Center,8.4 out of 10 Very good,"1,008 verified reviews",9.2/10,8.6/10,8.6/10,9.0/10,9.0/10
SpringHill Suites Alexandria,8.4 out of 10 Very good,"1,001 verified reviews",8.8/10,8.8/10,8.2/10,8.6/10,8.2/10
