Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Plus Huntersville Inn & Suites Near Lake Norman,7.6 out of 10 Good,972 verified reviews,8.0/10,8.4/10,7.0/10,7.6/10,7.2/10
Affordable Suites Statesville,9.2 out of 10 Wonderful,56 verified reviews,9.4/10,9.0/10,9.0/10,9.2/10,9.0/10
Microtel Inn by Wyndham Charlotte Airport,7.0 out of 10 Good,395 verified reviews,7.6/10,7.4/10,6.4/10,7.2/10,7.2/10
Wingate by Wyndham Charlotte Speedway/Concord,8.6 out of 10 Excellent,"1,157 verified reviews",8.6/10,8.8/10,8.4/10,8.4/10,8.6/10
Microtel Inn & Suites by Wyndham Camp Lejeune/Jacksonville,8.4 out of 10 Very good,710 verified reviews,8.8/10,9.0/10,8.4/10,8.6/10,8.4/10
Drury Inn & Suites Charlotte Northlake,9.2 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.4/10,9.2/10,9.2/10,9.2/10
Comfort Inn near Great Smoky Mountain National Park,8.6 out of 10 Excellent,898 verified reviews,8.8/10,9.0/10,8.0/10,8.2/10,8.4/10
Sleep Inn - Salisbury I-85,7.0 out of 10 Good,131 verified reviews,6.8/10,7.4/10,6.4/10,7.0/10,7.0/10
DoubleTree by Hilton Charlotte City Center,8.4 out of 10 Very good,"1,005 verified reviews",8.8/10,9.0/10,8.2/10,8.4/10,8.6/10
Hyatt Place Charlotte Airport/Lake Pointe,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,9.0/10,8.0/10,8.4/10,8.2/10
Loggerhead Inn & Suites,8.4 out of 10 Very good,7 verified reviews,9.8/10,8.0/10,2.0/10,9.8/10,7.6/10
Hampton Inn Sanford,8.4 out of 10 Very good,324 verified reviews,8.6/10,8.8/10,7.6/10,8.2/10,8.6/10
The Mayton,9.4 out of 10 Exceptional,552 verified reviews,9.8/10,9.6/10,9.2/10,9.6/10,9.4/10
Comfort Inn Laurinburg,8.0 out of 10 Very good,399 verified reviews,8.2/10,8.6/10,6.6/10,7.8/10,7.6/10
Millennium Durham,6.6 out of 10 Good,"1,112 verified reviews",6.8/10,7.2/10,6.0/10,6.4/10,6.8/10
Drury Inn & Suites Greensboro,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.8/10,8.6/10,8.8/10
Graduate Chapel Hill,9.4 out of 10 Exceptional,982 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.4/10
La Quinta Inn & Suites by Wyndham Raleigh/Durham Southpoint,6.8 out of 10 Good,"1,001 verified reviews",6.8/10,7.6/10,6.4/10,6.6/10,7.0/10
La Quinta Inn & Suites by Wyndham Charlotte Airport North,4.8 out of 10,"1,036 verified reviews",4.4/10,6.2/10,5.0/10,4.4/10,5.0/10
Whispering Pines Motel,9.0 out of 10 Wonderful,2 verified reviews,8.0/10,9.0/10,10.0/10,8.0/10,6.0/10
"Country Inn & Suites by Radisson, Charlotte University Place, NC",8.2 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,7.8/10,8.0/10,8.0/10
Best Western Inn & Suites - Monroe,8.6 out of 10 Excellent,361 verified reviews,9.0/10,9.0/10,8.4/10,8.6/10,8.4/10
Drury Inn & Suites Charlotte University Place,9.0 out of 10 Wonderful,"1,004 verified reviews",9.0/10,9.4/10,9.0/10,9.0/10,8.8/10
Residence Inn by Marriott Charlotte SouthPark,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,7.6/10,8.2/10,7.6/10
Skylaranna Resort & Spa,8.6 out of 10 Excellent,178 verified reviews,9.0/10,8.4/10,8.4/10,8.6/10,8.8/10
Seahorse Inn and Cottages,7.8 out of 10 Good,647 verified reviews,7.8/10,8.0/10,7.2/10,7.4/10,7.2/10
Four Seasons Inn,8.8 out of 10 Excellent,566 verified reviews,9.2/10,9.0/10,8.8/10,8.8/10,9.4/10
Tranquil House Inn,10 out of 10 Exceptional,8 verified reviews,9.8/10,10.0/10,8.0/10,9.0/10,10.0/10
"Country Inn & Suites by Radisson, Shelby, NC",8.0 out of 10 Very good,657 verified reviews,8.0/10,8.8/10,7.4/10,7.8/10,7.4/10
Comfort Inn & Suites Greenville Near Convention Center,8.4 out of 10 Very good,167 verified reviews,8.6/10,9.0/10,8.2/10,8.4/10,8.4/10
Dry Dock Inn,8.0 out of 10 Very good,856 verified reviews,8.4/10,8.8/10,7.8/10,7.6/10,8.0/10
Red Roof Inn Greensboro Airport,6.6 out of 10 Good,"1,001 verified reviews",7.0/10,7.4/10,5.8/10,6.6/10,6.4/10
Ramada by Wyndham Hendersonville,7.6 out of 10 Good,"1,002 verified reviews",7.8/10,8.0/10,7.0/10,7.2/10,7.4/10
Days Inn by Wyndham Murphy,7.8 out of 10 Good,570 verified reviews,8.4/10,8.4/10,7.8/10,7.8/10,8.6/10
Econo Lodge,7.0 out of 10 Good,735 verified reviews,7.2/10,7.4/10,6.6/10,6.6/10,7.0/10
Red Roof Inn Lenoir,7.2 out of 10 Good,776 verified reviews,7.6/10,7.8/10,7.0/10,7.0/10,7.2/10
Sonesta Charlotte Executive Park,8.0 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,8.0/10,8.2/10,8.2/10
Lighthouse View Oceanfront Lodging,9.0 out of 10 Wonderful,346 verified reviews,9.0/10,9.0/10,8.2/10,8.8/10,8.6/10
Cambria Hotel Downtown Asheville,9.6 out of 10 Exceptional,"1,002 verified reviews",9.6/10,9.6/10,9.2/10,9.6/10,9.4/10
Hyatt Place Charlotte Downtown,8.6 out of 10 Excellent,"1,087 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.6/10
Affordable Suites Fayetteville,9.2 out of 10 Wonderful,606 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,9.2/10
Qualla Cabins and Motel Cherokee near Casino,7.6 out of 10 Good,911 verified reviews,7.6/10,8.0/10,7.2/10,7.0/10,7.8/10
Hyatt Place Charlotte Airport / Billy Graham Parkway,8.0 out of 10 Very good,"1,005 verified reviews",8.2/10,8.6/10,7.8/10,8.0/10,8.2/10
"Cascades Mountain Resort, Ascend Hotel Collection",7.0 out of 10 Good,"1,004 verified reviews",7.2/10,7.6/10,6.6/10,6.6/10,5.8/10
"Grandover Resort & Spa, a Wyndham Grand Hotel",9.2 out of 10 Wonderful,918 verified reviews,9.6/10,9.2/10,9.2/10,9.4/10,9.2/10
Quality Inn & Suites Airport,7.2 out of 10 Good,"1,014 verified reviews",7.2/10,7.6/10,7.0/10,6.8/10,7.0/10
Hemlock Inn,9.0 out of 10 Wonderful,798 verified reviews,9.4/10,9.4/10,8.6/10,9.0/10,9.0/10
Sleep Inn Northlake,7.6 out of 10 Good,649 verified reviews,8.0/10,8.0/10,8.0/10,7.4/10,8.0/10
La Quinta Inn & Suites by Wyndham Raleigh Crabtree,5.8 out of 10,"1,002 verified reviews",6.0/10,6.8/10,6.0/10,5.6/10,6.2/10
Hilton Garden Inn Hickory,8.8 out of 10 Excellent,388 verified reviews,9.0/10,9.2/10,8.8/10,9.2/10,8.6/10
Evening Shade River Lodge and Cabins,9.0 out of 10 Wonderful,247 verified reviews,9.2/10,9.4/10,8.4/10,8.8/10,8.6/10
Acorn Motel,7.8 out of 10 Good,17 verified reviews,8.0/10,8.6/10,6.4/10,7.4/10,7.4/10
Hyatt Centric SouthPark Charlotte,9.4 out of 10 Exceptional,684 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.6/10
Spark by Hilton Charlotte Tyvola I-77,9.0 out of 10 Wonderful,"1,890 verified reviews",9.2/10,9.0/10,8.8/10,9.0/10,8.8/10
Hyatt House Charlotte/Rea Farms,9.4 out of 10 Exceptional,371 verified reviews,9.6/10,9.6/10,9.2/10,9.6/10,9.4/10
Courtyard by Marriott Charlotte Airport/Billy Graham Parkway,8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,7.4/10,8.4/10,7.8/10
Quality Inn,7.4 out of 10 Good,713 verified reviews,7.6/10,8.4/10,6.8/10,7.4/10,6.6/10
The Lodge at Chetola Resort,9.0 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.2/10,9.0/10,9.0/10,8.8/10
Howard Johnson by Wyndham Greensboro Near the Coliseum,6.0 out of 10 Good,999 verified reviews,6.0/10,7.0/10,5.0/10,5.6/10,5.0/10
The Terrace at Lake Junaluska,8.6 out of 10 Excellent,226 verified reviews,9.0/10,8.8/10,8.2/10,8.4/10,8.6/10
The Radical,9.6 out of 10 Exceptional,87 verified reviews,10.0/10,9.8/10,9.0/10,9.8/10,9.6/10
Sanderling Resort,8.8 out of 10 Excellent,352 verified reviews,9.0/10,9.0/10,8.6/10,9.0/10,8.6/10
"The Carolina Inn, a Destination by Hyatt Hotel",9.6 out of 10 Exceptional,"1,000 verified reviews",9.8/10,9.6/10,9.4/10,9.6/10,9.4/10
Quality Inn Near Fort Liberty formerly Ft. Bragg,6.8 out of 10 Good,"1,000 verified reviews",6.8/10,7.8/10,6.6/10,6.4/10,6.6/10
The University Inn,7.2 out of 10 Good,278 verified reviews,7.0/10,8.2/10,6.2/10,6.4/10,6.8/10
Baymont by Wyndham Greenville,6.4 out of 10 Good,"1,001 verified reviews",6.0/10,7.8/10,6.0/10,5.8/10,6.4/10
Red Roof Inn Greensboro Coliseum,6.4 out of 10 Good,"1,001 verified reviews",6.6/10,7.2/10,5.6/10,6.4/10,6.2/10
SpringHill Suites by Marriott Raleigh Apex,9.6 out of 10 Exceptional,106 verified reviews,9.6/10,9.8/10,9.2/10,9.8/10,9.6/10
Beachwoods Resort,8.4 out of 10 Very good,957 verified reviews,8.6/10,8.6/10,9.0/10,8.6/10,8.6/10
"Waynesville Inn and Golf Club, Tapestry Collection by Hilton",7.6 out of 10 Good,"1,002 verified reviews",8.0/10,8.6/10,7.6/10,6.8/10,8.0/10
Nantahala Village,8.4 out of 10 Very good,896 verified reviews,8.6/10,8.8/10,8.0/10,8.2/10,9.0/10
Quality Inn Lincolnton,7.8 out of 10 Good,295 verified reviews,7.8/10,8.6/10,7.4/10,7.4/10,7.8/10
"Hotel Indigo Asheville Downtown, an IHG Hotel",9.0 out of 10 Wonderful,"1,004 verified reviews",9.0/10,9.2/10,8.6/10,9.0/10,9.0/10
Days Inn by Wyndham Raleigh Glenwood-Crabtree,6.8 out of 10 Good,458 verified reviews,6.8/10,7.6/10,5.8/10,6.2/10,6.6/10
"Haywood Park Hotel, Ascend Hotel Collection",9.2 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.4/10,8.8/10,9.0/10,8.8/10
Ramada Plaza by Wyndham Charlotte/South End Airport,6.2 out of 10 Good,998 verified reviews,6.4/10,7.4/10,6.0/10,6.0/10,5.4/10
Ramada by Wyndham Maggie Valley,7.2 out of 10 Good,"1,002 verified reviews",7.6/10,7.6/10,6.6/10,7.0/10,7.2/10
Lloyd's On The River Country Inn By Oyo,6.6 out of 10 Good,464 verified reviews,7.2/10,7.2/10,6.0/10,6.2/10,6.4/10
Days Inn by Wyndham Jacksonville NC,7.0 out of 10 Good,821 verified reviews,7.2/10,7.6/10,5.6/10,6.8/10,6.2/10
Econo Lodge,4.8 out of 10,264 verified reviews,5.2/10,6.0/10,4.2/10,4.8/10,4.4/10
Surf Side Hotel,9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,9.0/10,8.8/10,8.8/10
Sheraton Charlotte Hotel,8.0 out of 10 Very good,"1,004 verified reviews",8.4/10,8.6/10,8.0/10,8.0/10,8.2/10
Red Roof Inn & Suites Cornelius – Lake Norman,7.0 out of 10 Good,272 verified reviews,7.2/10,7.6/10,7.0/10,6.8/10,7.6/10
Omni Charlotte Hotel,8.6 out of 10 Excellent,"1,034 verified reviews",9.0/10,9.0/10,8.4/10,8.8/10,8.8/10
Red Roof Inn & Suites Fayetteville - Fort Bragg,7.0 out of 10 Good,"1,003 verified reviews",7.4/10,7.6/10,6.0/10,7.0/10,6.0/10
Red Roof Inn & Suites Wilson,6.2 out of 10 Good,890 verified reviews,6.6/10,7.0/10,6.0/10,6.0/10,5.8/10
The Omni Grove Park Inn,9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,9.0/10,9.0/10,9.0/10
The Beach House Motel & Suites,9.4 out of 10 Exceptional,13 verified reviews,9.8/10,9.8/10,8.6/10,9.8/10,9.0/10
Suburban Studios,5.4 out of 10,863 verified reviews,5.6/10,6.6/10,5.0/10,5.4/10,4.0/10
"Motel 6 Jacksonville, NC",7.0 out of 10 Good,586 verified reviews,6.8/10,7.8/10,6.6/10,6.6/10,7.6/10
MainStay Suites Greensboro,8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.6/10,7.4/10,8.0/10,7.6/10
Aloft Wilmington at Coastline Center,9.0 out of 10 Wonderful,280 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.2/10
SureStay Plus Hotel by Best Western Fayetteville,6.6 out of 10 Good,"1,003 verified reviews",6.6/10,7.6/10,6.4/10,6.4/10,6.4/10
SpringHill Suites by Marriott Fayetteville Fort Liberty,9.4 out of 10 Exceptional,621 verified reviews,9.6/10,9.4/10,9.4/10,9.6/10,9.4/10
Best Western Gastonia,7.2 out of 10 Good,790 verified reviews,7.2/10,8.0/10,7.0/10,7.0/10,7.2/10
"Holiday Inn Express & Suites Charlotte - Ballantyne, an IHG Hotel",8.4 out of 10 Very good,783 verified reviews,8.8/10,8.8/10,8.6/10,8.8/10,8.6/10
"Garnet Inn & Suites, Morehead City near Atlantic Beach",6.6 out of 10 Good,222 verified reviews,6.0/10,7.4/10,6.0/10,5.8/10,6.4/10
SpringHill Suites Charlotte City Center,9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,8.8/10,9.2/10,9.0/10
BridgePointe Hotel & Marina,8.0 out of 10 Very good,"1,002 verified reviews",7.8/10,8.6/10,7.4/10,7.4/10,7.6/10
Red Roof Inn Hickory,6.2 out of 10 Good,"1,000 verified reviews",6.4/10,7.0/10,6.2/10,6.2/10,6.0/10
Days Inn by Wyndham Greensboro Airport,5.8 out of 10,559 verified reviews,6.0/10,7.0/10,5.6/10,5.6/10,5.6/10
Le Meridien Charlotte,8.0 out of 10 Very good,"1,004 verified reviews",8.2/10,8.2/10,8.0/10,8.0/10,8.2/10
"Country Inn & Suites by Radisson, Wilson, NC",8.4 out of 10 Very good,"1,574 verified reviews",8.4/10,8.8/10,8.2/10,8.2/10,8.2/10
"Country Inn & Suites by Radisson, Burlington (Elon), NC",9.2 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.4/10,8.8/10,9.0/10,8.6/10
"Country Inn & Suites by Radisson, Raleigh-Durham Airport, NC",8.4 out of 10 Very good,"1,005 verified reviews",8.6/10,9.0/10,7.8/10,8.4/10,8.0/10
Econo Lodge Battleboro - Rocky Mount I-95,7.0 out of 10 Good,581 verified reviews,7.2/10,7.8/10,6.6/10,6.8/10,6.6/10
