Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Country Inn & Suites by Radisson, Dunn, NC",8.0 out of 10 Very good,298 verified reviews,8.0/10,8.6/10,7.0/10,7.8/10,7.8/10
"Country Inn & Suites by Radisson, Rocky Mount, NC",8.2 out of 10 Very good,"1,002 verified reviews",8.4/10,8.6/10,8.0/10,8.4/10,8.2/10
Courtyard by Marriott Asheville Airport,9.2 out of 10 Wonderful,479 verified reviews,9.8/10,9.4/10,9.0/10,9.6/10,9.4/10
Microtel Inn & Suites by Wyndham Bryson City,7.8 out of 10 Good,"1,002 verified reviews",8.2/10,8.2/10,6.8/10,8.0/10,7.6/10
Red Roof Inn Roanoke Rapids,7.8 out of 10 Good,"1,003 verified reviews",7.8/10,8.4/10,7.0/10,7.4/10,7.4/10
Quality Inn & Suites Boone - University Area,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,8.2/10,7.0/10,7.6/10,7.6/10
Super 8 by Wyndham Asheville/Biltmore,7.0 out of 10 Good,"1,000 verified reviews",7.2/10,7.8/10,7.4/10,6.8/10,8.0/10
ARRIVE Wilmington,9.6 out of 10 Exceptional,393 verified reviews,9.8/10,9.8/10,9.2/10,9.8/10,9.4/10
Comfort Inn Smithfield near I-95,8.0 out of 10 Very good,350 verified reviews,7.8/10,8.4/10,7.6/10,7.8/10,7.6/10
Rodeway Inn & Suites On The River,8.0 out of 10 Very good,859 verified reviews,8.4/10,8.4/10,7.2/10,7.8/10,7.6/10
Hampton Inn & Suites Raleigh/Cary I-40 (PNC Arena),9.4 out of 10 Exceptional,"1,003 verified reviews",9.4/10,9.4/10,9.0/10,9.2/10,9.0/10
Microtel Inn by Wyndham Wilson,7.8 out of 10 Good,"1,003 verified reviews",8.0/10,8.6/10,7.2/10,7.2/10,7.8/10
"Blue Water Inn & Suites, BW Signature Collection",8.4 out of 10 Very good,662 verified reviews,8.6/10,8.8/10,8.2/10,8.2/10,8.4/10
Rhode's Motor Lodge,9.8 out of 10 Exceptional,149 verified reviews,10.0/10,9.8/10,9.2/10,9.8/10,9.6/10
Jonathan Creek Inn and Villas,9.4 out of 10 Exceptional,977 verified reviews,9.4/10,9.6/10,9.2/10,9.2/10,9.2/10
Fairfield Inn & Suites by Marriott Hendersonville Flat Rock,9.6 out of 10 Exceptional,531 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.4/10
Sunset Motel,9.4 out of 10 Exceptional,518 verified reviews,9.8/10,9.8/10,8.8/10,9.4/10,9.2/10
Red Roof Inn PLUS+ Statesville,8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.6/10,7.2/10,7.8/10,8.0/10
Cherokee Lodge,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.4/10,8.0/10,8.0/10
Quality Inn & Suites Maggie Valley - Cherokee Area,8.4 out of 10 Very good,617 verified reviews,8.6/10,8.6/10,8.0/10,8.2/10,8.2/10
Days Inn & Conf Center by Wyndham Southern Pines Pinehurst,6.6 out of 10 Good,675 verified reviews,6.6/10,7.6/10,6.0/10,6.0/10,6.4/10
The Anchorage Inn and Marina,8.2 out of 10 Very good,209 verified reviews,8.6/10,8.6/10,7.2/10,7.8/10,8.0/10
Best Western Lumberton,8.4 out of 10 Very good,"1,003 verified reviews",8.6/10,8.8/10,7.8/10,8.0/10,8.0/10
Wingate by Wyndham - Wilmington,9.0 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.4/10,8.8/10,9.0/10,9.0/10
Best Western Plus Suites-Greenville,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Colonial Inn Motel,7.4 out of 10 Good,689 verified reviews,7.4/10,8.4/10,7.0/10,6.6/10,7.0/10
