Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Palace Inn Blue US 59 & Gessner,9.2 out of 10 Wonderful,61 verified reviews,9.6/10,9.4/10,9.0/10,9.4/10,9.2/10
Americas Best Value Inn Medical Center Downtown,7.8 out of 10 Good,"1,000 verified reviews",7.8/10,8.2/10,7.0/10,7.4/10,7.2/10
"Home2 Suites by Hilton Houston Medical Center, TX",9.4 out of 10 Exceptional,253 verified reviews,9.6/10,9.4/10,9.2/10,9.6/10,9.4/10
Super 8 by Wyndham Houston/NASA,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.4/10,8.2/10,8.0/10,8.4/10
Courtyard by Marriott Houston NW/290 Corridor,8.8 out of 10 Excellent,737 verified reviews,9.2/10,9.2/10,8.2/10,9.2/10,8.8/10
SpringHill Suites by Marriott Houston Hwy. 290/NW Cypress,8.8 out of 10 Excellent,336 verified reviews,9.2/10,9.0/10,8.2/10,9.2/10,9.0/10
Best Western Galleria Inn & Suites,7.8 out of 10 Good,905 verified reviews,8.0/10,8.2/10,7.6/10,7.8/10,8.0/10
Four Points by Sheraton Houston Intercontinental Airport,8.4 out of 10 Very good,836 verified reviews,9.0/10,8.6/10,7.8/10,8.8/10,8.2/10
Wingate Houston near NRG Park/Medical Center,6.8 out of 10 Good,671 verified reviews,7.0/10,7.6/10,5.8/10,6.2/10,6.6/10
Spark by Hilton Houston Bush Intercontinental Airport,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.2/10,8.6/10,8.2/10
MainStay Suites Texas Medical Center/Reliant Park,8.0 out of 10 Very good,"1,001 verified reviews",8.2/10,8.4/10,7.6/10,7.8/10,8.0/10
"Holiday Inn Express Houston - Galleria Area, an IHG Hotel",9.2 out of 10 Wonderful,770 verified reviews,9.6/10,9.2/10,9.2/10,9.6/10,9.4/10
La Quinta Inn & Suites by Wyndham Houston Channelview,8.6 out of 10 Excellent,580 verified reviews,9.0/10,8.8/10,8.6/10,9.0/10,8.8/10
Hotel Derek,6.4 out of 10 Good,"2,049 verified reviews",7.0/10,7.2/10,6.4/10,6.6/10,6.4/10
"Holiday Inn Houston Downtown, an IHG Hotel",8.4 out of 10 Very good,"1,001 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.6/10
SpringHill Suites Houston Medical Center/NRG Park,8.8 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.2/10,8.4/10,8.6/10,9.0/10
Comfort Suites Westchase Houston Energy Corridor,8.6 out of 10 Excellent,421 verified reviews,8.6/10,8.8/10,7.8/10,8.2/10,7.8/10
Baymont by Wyndham Houston Hobby Airport,8.8 out of 10 Excellent,654 verified reviews,8.8/10,8.8/10,8.0/10,8.8/10,8.4/10
Holiday Inn Express & Suites Houston S - Medical Ctr Area,9.2 out of 10 Wonderful,"1,000 verified reviews",9.6/10,9.2/10,9.2/10,9.4/10,9.2/10
Comfort Suites - Near The Galleria,8.0 out of 10 Very good,551 verified reviews,8.4/10,8.6/10,7.6/10,7.8/10,7.6/10
Crystal Inn Jacinto City,8.6 out of 10 Excellent,41 verified reviews,9.0/10,9.2/10,9.6/10,9.0/10,8.6/10
Hilton Garden Inn Houston NW America Plaza,9.0 out of 10 Wonderful,"1,005 verified reviews",9.4/10,9.2/10,7.6/10,9.2/10,8.6/10
Hilton Garden Inn Houston Energy Corridor,8.8 out of 10 Excellent,538 verified reviews,9.2/10,9.2/10,8.4/10,9.0/10,8.8/10
La Quinta Inn & Suites by Wyndham Houston East at Normandy,8.2 out of 10 Very good,532 verified reviews,8.6/10,8.6/10,8.4/10,8.2/10,8.4/10
Fairfield Inn & Suites by Marriott Houston Hobby Airport.,8.0 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.6/10,8.2/10,8.0/10
Houston Marriott South at Hobby Airport,8.4 out of 10 Very good,"1,003 verified reviews",8.6/10,8.6/10,8.4/10,8.6/10,8.8/10
Home2 Suites by Hilton Houston IAH Airport Beltway 8,8.2 out of 10 Very good,384 verified reviews,8.6/10,8.6/10,8.4/10,8.8/10,8.6/10
Comfort Inn & Suites Southwest Fwy at Westpark,7.2 out of 10 Good,"1,001 verified reviews",7.0/10,7.8/10,7.2/10,7.0/10,7.0/10
Quality Suites Houston Hobby Airport,8.6 out of 10 Excellent,604 verified reviews,9.0/10,9.0/10,8.2/10,9.0/10,8.8/10
The Residency Suites,9.0 out of 10 Wonderful,179 verified reviews,9.4/10,9.4/10,8.2/10,9.2/10,8.8/10
Extended Stay America Suites Houston Galleria Westheimer,6.6 out of 10 Good,"1,001 verified reviews",6.8/10,7.4/10,6.0/10,6.4/10,6.8/10
La Quinta Inn & Suites by Wyndham Houston NW Beltway8/WestRD,9.0 out of 10 Wonderful,679 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.0/10
Best Western Plus Hobby Airport Inn & Suites,8.8 out of 10 Excellent,"1,003 verified reviews",9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
"Holiday Inn Express & Suites Houston IAH - Beltway 8, an IHG Hotel",8.2 out of 10 Very good,"1,002 verified reviews",8.6/10,8.4/10,8.2/10,8.4/10,8.2/10
Doubletree by Hilton Houston Hobby Airport,8.6 out of 10 Excellent,914 verified reviews,9.0/10,8.8/10,8.6/10,8.6/10,8.8/10
"Staybridge Suites Houston IAH - Beltway 8, an IHG Hotel",8.2 out of 10 Very good,693 verified reviews,8.4/10,8.4/10,8.2/10,8.4/10,7.8/10
